topic_id,topic_name,keywords,chunk_count,sample_chunks,your_decision,new_name,merge_with,notes
31,31_seat_shoulder_seats_harness,"seat, shoulder, seats, harness, shoulder harness, restraint, children, occupant, passenger, child",45,"[AAR-90-06.pdf_chunk_0102]: [ANALYSIS] On May 30, 1990  Revise 14 CFR 91, 121 and 135 to require that all occupants be  restrained during takeoff, landing, and turbulent conditions,  and that all infants and small children below the weight of  40 pounds and under the height of 40 inches to be restrained  in an approved child r... ||| [AAR0604.pdf_chunk_0066]: [ANALYSIS] For example, after the passengers boarded the airplane, the cabin aide offered the passengers a beverage and four accepted. The drinks were served in glasses or ceramic/china cups, several of which were recovered on or near passenger seats after the accident, which is not consistent with... ||| [AAR0704.pdf_chunk_0055]: [ANALYSIS] In its  November 20, 2006, response to this recommendation, the FAA stated that it would not  include, in the final rule requiring damage-tolerance-based supplemental inspections,  airplanes that were type-certificated before 1958 and had a maximum passenger seating  capacity of fewer tha...",,,,
32,32_helicopter_pilot_helicopters_terrain,"helicopter, pilot, helicopters, terrain, accident, flight, pilots, water, imc, altitude",44,"[AAB0402.pdf_chunk_0041]: [ANALYSIS] Analysis of the atmospheric conditions disclosed no evidence of any meteorological  phenomenon that was contributory to the accident other than the high-ambient temperatures and  resultant high-density altitude. The winds at both the top of the cliff and at the accident site were  about 5... ||| [AAB0402.pdf_chunk_0042]: [ANALYSIS] Several of the operator’s tour pilots, including the accident pilot,  nicknamed this maneuver the Thelma and Louise descent. Interviews with passengers who had  flown with the accident pilot before the accident and other people familiar with the way he flew  his tour indicated that he pre... ||| [AAB0704.pdf_chunk_0011]: [ANALYSIS] The rules for operating within class B airspace are outlined in 14 CFR 91.131 and include two-way  radio and transponder requirements. NTSB/AAB-07/04 11  ANALYSIS  Examination of the helicopter revealed no mechanical deficiencies, and no evidence of  impact with a bird or other object was...",,,,
33,33_door_cargo door_cargo_latch,"door, cargo door, cargo, latch, cams, open, closed, lock, position, locked",43,"[AAR7302.pdf_chunk_0012]: [ANALYSIS AND CONCLUSIONS] The sccond test revealed thac the force required to ssow the haadle was approximately 120 pounds, When the door linkage was forced overcenter, the locking pins did not engage. $e was noted further that the sliding lock tube was deflected, and the cap end made contact with... ||| [AAR7302.pdf_chunk_0013]: [ANALYSIS] He had to force the handle closed with his knee, and the vent decr, which is also operated by the handic, did not then close properly. A subsequent test of the door m -chanism demonstrated thet the door handle could actually be stowed without the lockpins in place it a force of 120 pounds... ||| [AAR7302.pdf_chunk_0017]: [(a) FINDINGS] Stabilizer crim was available, although the stabilizer indicator was inoperative. ..1¢ crew was not aware of that, and they did not use trim for the approach and landing. There were no malfunctions of the three hydraulic systems, the airplane’s brake system, and the nosewheel steering...",,,,
34,34_generator_electrical_power_bus,"generator, electrical, power, bus, attitude, indicator, standby, switch, attitude indicator, instruments",43,"[AAB0202.pdf_chunk_0030]: [ANALYSIS] He also told ATC that he was trying to use the right-side attitude indicator, which indicates that the airplane did not experience a total vacuum system failure. Examination of the wreckage revealed rotational marks in the left and right engine vacuum pumps, which indicates that they were... ||| [AAR0301.pdf_chunk_0030]: [ANALYSIS] The Safety Board concludes that the physical evidence recovered from the wreckage site and the recorded radar data indicate that a complete loss of a.c. electrical power occurred aboard the airplane. Further, a.c. power was not restored any time after it was lost; if a.c. power had been r... ||| [AAR0301.pdf_chunk_0031]: [ANALYSIS] Also, as demonstrated by postaccident examination and testing of a King Air 200 airplane that was similarly equipped to N81PF, instrument flags would have appeared on the pilot’s altimeter, attitude indicator, horizontal situation indicator (HSI), radio altimeter, RMI, and altitude presel...",,,,
35,35_captain_officer_captains_training,"captain, officer, captains, training, flight, flying, officers, pilot, approach, board",41,"[AAR0001.pdf_chunk_0166]: [ANALYSIS] Although the precise reason(s) for the lack of monitoring by the flight crew could not be determined, the Safety Board concludes that the first officer and flight engineer failed to properly monitor and/or challenge the captain’s performance, which was causal to the accident. Problems ass... ||| [AAR0102.pdf_chunk_0156]: [ANALYSIS] In addition, the manual states, “stopping distances are provided for guidance information only to assist in the selection of the most desirable setting.” Analysis 140 Aircraft Accident Report 2.2.3 Human Factors During the accident flight, both crewmembers made basic errors in flight mana... ||| [AAR0303.pdf_chunk_0048]: [ANALYSIS] 2. Analysis 2.1 General The flight crewmembers were properly certificated and had received the training for pilot certification prescribed by Federal regulations.79 No evidence indicated any preexisting medical or other physical condition that might have adversely affected the flight crew...",,,,
36,36_recorder_flight recorder_crashresistant_crashresistant flight,"recorder, flight recorder, crashresistant, crashresistant flight, data, ntsb, image, recorders, cockpit, recorder systems",40,"[AAR0602.pdf_chunk_0064]: [ANALYSIS] The periodic maintenance check of the CVR should include an audio test followed by a download and review of each channel of recorded audio. The downloaded recording should be checked for overall audio quality, CVR functionality, and intelligibility. In addition, the FAA’s actions in respo... ||| [AAR0602.pdf_chunk_0065]: [ANALYSIS] The FAA’s letter also stated, “exempting certain helicopters from the FDR requirements would be in the public interest and would not adversely affect safety.” The Safety Board does not agree with the FAA’s position that the lack of an FDR aboard helicopters is in the public interest and d... ||| [AAR0902.pdf_chunk_0041]: [ANALYSIS] As a result, only one-sided    52 All of the ENG helicopters used the same beacon code because it signified operation according to the  provisions of the Sharp Echo LOA. Aircraft Accident Report    National Transportation Safety Board  37  conversations were available. These conversations...",,,,
37,37_hydraulic_rotor_yaw_tail,"hydraulic, rotor, yaw, tail, tail rotor, servo, pedal, yaw servo, helicopters, compensator",39,[AAB0402.pdf_chunk_0043]: [ANALYSIS] The helicopter’s skid-type landing gear was  found sitting upright and facing into the cliff face at the IPI on a large outcropping of boulders.38  A burn pattern and limited debris was found at this location. There was a second burn pattern  about 20 feet downslope where the helicopter h... ||| [AAB0402.pdf_chunk_0044]: [ANALYSIS] Determination of this control position was made with a high degree of confidence based on the collective  demand pointer on the fuel control unit; this is cable driven and not likely to have been influenced by vertical impact  forces on the collective torque and push/pull tubes.  41 In Eu... ||| [AAB0402.pdf_chunk_0047]: [ANALYSIS] These indications of positive directional control also  establish that the tail rotor and yaw control system was fully functional.      45 The location of the heat-damaged parts was consistent with the areas of greatest ground fire damage.  46 The gearbox rotated freely following applicat...,,,,
38,38_engine_ditching_failure_checklist,"engine, ditching, failure, checklist, engine failure, failure checklist, dualengine failure, dualengine, airplane, double engine",37,"[AAB0402.pdf_chunk_0046]: [ANALYSIS] Molten aluminum contacting cooler surfaces will have a  rough appearance, and will sometimes be present in globular form. This type of deposit will be easily scraped away  with a fingernail or knife (temporary adhesion). Both deposit forms will burn away quickly with continued operation.... ||| [AAR0701.pdf_chunk_0057]: [ANALYSIS] About 2200:38, the captain told the first officer to increase the airspeed to above 300 knots, and the first officer acknowledged this instruction. About 1 minute later, the captain again told the first officer to increase the airspeed to 300 knots. However, FDR data showed that the maxim... ||| [AAR0701.pdf_chunk_0058]: [ANALYSIS] The second factor was that the pilots had only received ground school instruction on the double engine failure checklist. Thus, it is possible that they were executing it for the first time. Even though maintaining an airspeed of 240 knots was a memory item on the checklist, it is possibl...",,,,
39,39_smoke_goggles_smoke goggles_cabin,"smoke, goggles, smoke goggles, cabin, emergency, cockpit, board, don, captain, emergency descent",36,"[AAR0707.pdf_chunk_0051]: [ANALYSIS] The flight crew also proactively began troubleshooting to determine the source  of the odor. Neither the UPS DC‑8 AOM nor the DC-8 Airplane Flight Manual states what  procedures should be accomplished in the event that only fumes are present. The flight  crew’s use of UPS fire and smoke‑r... ||| [AAR0707.pdf_chunk_0052]: [ANALYSIS] Analysis National Transportation Safety Board A I R C R A F T Accident Report 48 Use and Adequacy of Smoke, Fire, or Fumes Checklists 2.2.3  During the review of the flight crew’s actions and decision-making, investigators  found that company guidance and checklists regarding smoke, fire,... ||| [AAR0707.pdf_chunk_0053]: [ANALYSIS] Although the FAA provides guidance to crewmembers on issues related to inflight fires in AC 120-80, the AC does not provide guidance to flight crews on how to  respond to evidence of smoke, fire, and fumes in the absence of a cockpit alert. In 2004, an  international initiative was undert...",,,,
40,40_sar_dps_mission_alaska dps,"sar, dps, mission, alaska dps, pilot, alaska, nmsp, search, helicopter, risk",35,"[AAR0907.pdf_chunk_0066]: [ANALYSIS] He then attempted to  contact Trooper 2 by radio and got no response. During the investigation, NTSB investigators learned that, against MSP operational  policy, DOs routinely disregarded ADS-B loss of signal alerts and only attempted to contact  flight crews when a signal was lost during... ||| [AAR0907.pdf_chunk_0067]: [ANALYSIS] Additionally, visibility in the area was reported to be  approximately 50 feet, which would have further slowed the search process. Given the darkness,  NTSB  Aircraft Accident Report  62  fog, and delay in obtaining four-wheel drive vehicles, it would likely have taken several hours to... ||| [AAR0907.pdf_chunk_0068]: [ANALYSIS] This location raised confusion among PG County  personnel and, within 10 minutes, they called SYSCOM to verify the location. The PG County  dispatcher reported the discrepancy to an operator at SYSCOM who responded, ―okay I don‘t  know where the duty officer got those [coordinates]….‖ The...",,,,
41,41_cargo_weight_loading_fine,"cargo, weight, loading, fine, weight balance, balance, fine air, aeromar, pallet, cg",35,"[AAR0302.pdf_chunk_0087]: [ANALYSIS] Analysis 80 Aircraft Accident Report Although it was determined that the performance of cargo-handling personnel was not a factor in this accident, improper loading of the airplane’s cargo and/or a cargo shift during takeoff have been involved in previous accidents and were considered pos... ||| [AAR0401.pdf_chunk_0101]: [ANALYSIS] In fact, the first officer of the flight from Huntington, West Virginia (HTS), to Charlotte, North Carolina, on January 7, 2003, stated that “everything was normal” and “it was a good flying airplane.” 126 The flight crew made a 10-pound addition error when summing the weights that compri... ||| [AAR0401.pdf_chunk_0102]: [ANALYSIS] Table 12. Calculations for Air Midwest flight 5481 using the weight and balance program  in effect at the time of the accident. 127 According to the flight 5481 dispatch release, the airplane was loaded with 2,420 pounds of fuel before takeoff. Given Air Midwest’s taxi fuel burn assumptio...",,,,
42,42_training_commuter_checklists_safety,"training, commuter, checklists, safety, board, operations, checklist, flight, safety board, experience",34,"[AAR0701.pdf_chunk_0067]: [ANALYSIS] Section 2.2.5 also noted that these behaviors were examples of optimizing violations, which occur when someone disregards defined procedures intentionally to make a job more interesting or engaging, to push limits, or to impress another. Although Pinnacle Airlines had protections in place... ||| [AAR0701.pdf_chunk_0069]: [ANALYSIS] For regional operators that have the ability to download FDR data, routine monitoring of Part 91 flights can be an effective method to ensure that the flights are conducted according to standard operating procedures. For those operators that do not have the ability to review FDR data from... ||| [AAR0702.pdf_chunk_0038]: [ANALYSIS] Carriers, 1978 through 1990, Safety Study NTSB/SS-94/01 (Washington, DC: NTSB, 1994).  58 The complete text of Safety Recommendation A-94-3 to the FAA was as follows: “Require U.S. air carriers operating under 14 CFR Part 121 to provide, for flight crews not covered by the Advanced Qualif...",,,,
43,43_crm_training_crm training_crew,"crm, training, crm training, crew, resource, 135, resource management, management, flight, pilots",34,"[AAR0604.pdf_chunk_0058]: [ANALYSIS] First, they were aware in advance that they would be performing a high-speed RTO and were instructed to apply reverse thrust, brakes, and spoilers immediately and aggressively. Second, during these tests, the simulator pilots repeatedly performed high-speed RTOs in the simulator, and they... ||| [AAR0906.pdf_chunk_0063]: [ANALYSIS] Although these distractions might have been benign during a normal flight, they were  critical during the accident sequence, especially the later stages. The NTSB concludes that, as a  result of the first officer’s poor flying skills, his lack of airplane systems knowledge, and both  pilo... ||| [AAR1001.pdf_chunk_0120]: [ANALYSIS] On September  10, 2008, the NTSB stated that such a list would be responsive to the intent of the  recommendation as long as the list provided a strong emphasis on the monitoring and workload  management components of a CRM program. The NTSB classified the recommendation  “Open—Acceptable...",,,,
44,44_weather_tour_air tour_pilots,"weather, tour, air tour, pilots, hawaii, weather conditions, cuebased, conditions, camera, route",33,"[AAB0701.pdf_chunk_0017]: [ANALYSIS] Although a radar system capable of accurately observing the  north end of the island could not have detected the presence of a microburst, the characteristics  of the storm encountered by the accident helicopter (and two of three other tour helicopters in the  area) would have produced st... ||| [AAR0703.pdf_chunk_0042]: [ANALYSIS] Nearly all of his previous flight experience had been gained as a military pilot with the Indian Air Force. Though the pilot was experienced in helicopter operations and claimed previous mountain and coastal flying experience, he had few flight hours as a commercial air tour pilot and had... ||| [AAR0703.pdf_chunk_0043]: [ANALYSIS] The pilot may have expected that this would be the case during the accident flight; however, visibility was dramatically reduced along the top of the ridge as the incoming line of weather reached the high terrain. The Safety Board concludes that the pilot’s inexperience with Hawaii weathe...",,,,
45,45_goaround_goaround mode_mode_fo,"goaround, goaround mode, mode, fo, autopilot, activation goaround, inadvertent activation, activation, airplanes, control",32,"[AAR1401.pdf_chunk_0104]: [ANALYSIS] It is also possible that his  monitoring performance, and that of the other flight crewmembers, was degraded by fatigue,  which is known to influence attention and increase vigilance errors (Van Dongen et al. 2003,  117-126).  Human factors research has demonstrated that system operators... ||| [AAR1401.pdf_chunk_0107]: [ANALYSIS] The PF said he believed that only the PIC, in this case the PM, could call for a go-around. He said this was company policy resulting from a tail strike event that had occurred when an FO  had initiated a go-around. This statement contrasted with Asiana’s written policy in the 777  POM, w... ||| [AAR2002.pdf_chunk_0000]: [PROBABLE CAUSE] Probable Cause  The NTSB determines that the probable cause of this accident was the inappropriate  response by the first officer as the pilot flying to an inadvertent activation of the go-around mode,  which led to his spatial disorientation and nose-down control inputs that placed...",,,,
46,46_tca_action_midair_traffic,"tca, action, midair, traffic, recommendation, recommendations, collision, tcas, terminal, faa",32,"[AAR7226.pdf_chunk_0025]: [PROBABLE CAUSE] The Federal Aviation Administration  responded,  in  a  letter dated November 10, 1971, as follows:  ""This is in response to your safety recommendation, A-71-52,  issued 9 November 1971.  ""Recommendation  number 4 of our Near Midair collision Report  of July 1969 is similar to your... ||| [AAR7226.pdf_chunk_0026]: [PROBABLE CAUSE] The  program  should incorporate, in part,  Examograms and, in airmen examinations,  questions  referring to these graphics. The Federal Aviation Administration concurred with these  recommendations in a letter, dated February 15, 1972. Other recommendations (A-71-48 thru 51) were s... ||| [AAR7226.pdf_chunk_0027]: [PROBABLE CAUSE] I am advised  that during their initial review the recommendations  were considered sound and would be  implemented to the  extent feasible. The details of such action are being  staffed. The results of this staffing will be the  promulgation of specific instructions and guidance to...",,,,
47,47_battery_cell_cells_thermal,"battery, cell, cells, thermal, batteries, gs, runaway, 787, lithium, internal",32,"[AAR0707.pdf_chunk_0068]: [ANALYSIS] During the Safety Board’s  public hearing, the CPSC predicted that more incidents and recalls would occur if the  deficiencies were not addressed. Further, the increasing popularity of portable electronic  devices suggests that lithium battery-related incidents, particularly those involvi... ||| [AAR0707.pdf_chunk_0069]: [ANALYSIS] These initiatives will also heighten  awareness about the common risks associated with both primary and secondary lithium  batteries. Although the Safety Board is encouraged by these efforts, other concerns still  remain. The FAA currently maintains records of aviation incidents involving... ||| [AAR0707.pdf_chunk_0070]: [ANALYSIS] Analyzing future secondary and primary lithium battery-related incidents  should help determine the causes of the failures and, in turn, allow the most appropriate  transportation requirements to be established. Therefore, the Safety Board concludes  that an in-depth analysis of the cause...",,,,
48,48_fatigue_sleep_duty_fatigued,"fatigue, sleep, duty, fatigued, policy, safety, attendance, regulations, disorders, sleep disorders",31,"[AAR0102.pdf_chunk_0163]: [ANALYSIS] As a result, the Board issued Safety Recommendation A-99-45, asking the FAA to “establish within 2 years scientifically based hours-of-service regulations that set limits on hours of service, provide predictable work and rest schedules, and consider circadian rhythms and human sleep and r... ||| [AAR0402.pdf_chunk_0069]: [ANALYSIS] Analysis 60 Aircraft Accident Report 2.3.4 Fatigue Management Training The flight engineer said that as a result of the company fatigue management training class, he began taking naps to augment his nightly sleep. Both he and the first officer rested in the company sleep/nap areas before... ||| [AAR0601.pdf_chunk_0059]: [ANALYSIS] Analysis 53 Aircraft Accident Report the captain during the approach, he may also have been suffering from fatigue; his failure to monitor and react to the captain’s deviations from nonprecision approach procedures was consistent with the degrading effects (slowed reactions and/or tunnel...",,,,
49,49_fuel_fuel boost_boost_boost pump,"fuel, fuel boost, boost, boost pump, pump, fsii, imbalance, fuel imbalance, right fuel, fuel pressure",31,"[AAR0603.pdf_chunk_0035]: [ANALYSIS] Specifically, the right fuel boost pump fan motor cooling fan cover and the blade directly beneath the cover were found bent inward, and no rotational markings were found, indicating that the right fuel boost pump was not operating at the time of impact. Postaccident testing of the left a... ||| [AAR0603.pdf_chunk_0036]: [ANALYSIS] Nolinor Aviation ground maintenance personnel determined that the right and left fuel boost pumps had output pressure settings of 15 and 21 psi, respectively, and that the crossfeed valves had been left open, which allowed fuel to transfer from the left to the right fuel tank. Nolinor Avi... ||| [AAR1105.pdf_chunk_0058]: [ANALYSIS] Further, the investigation found that the airplane  was properly certified, equipped, and maintained in accordance with Federal regulations and that  the recovered components showed no evidence of any preimpact structural, engine, or system  failures. Weather was not a factor in the accid...",,,,
50,50_slat_slats_piston_extension,"slat, slats, piston, extension, leading edge, edge, mach, leading, edge slat, flapslat",31,"[AAR0201.pdf_chunk_0149]: [ANALYSIS] The captain did not brief the first officer about what to expect or what to do if these configuration changes resulted in excessive flight control pressures or loss of control of the airplane. Further, the captain did not specify that the flaps should be extended at a slower-than-normal r... ||| [AAR7917.pdf_chunk_0075]: [PROBABLE CAUSE] The design of the leading edge slat system did not include positive . mechanical locking devices to prevent movement of the slats by external loads following a failure of the primary controls. Certification was based upon acceptable flight characteristics with an asymmetrical leadin... ||| [AAR8108.pdf_chunk_0026]: [ANALYSIS] The flaps and slats retracted properly and ori schedule after takeoff, and the flap/slat position indicating system displayed no abormai silat or flap condition.  2.4 Extension of the No. 7 Leading Edge Slat  Aecording to FDR information, about 9 minutes after the aircraft arrived at 29,0...",,,,
51,51_fuel_pounds_weight_lbs,"fuel, pounds, weight, lbs, gallons, weight balance, balance, calculations, captain, flight",30,"[AAB0205.pdf_chunk_0031]: [ANALYSIS] Further, the Safety  Board notes that during simulator tests, when a left engine failure was induced along with a  failed right engine on an ILS approach, the airplane remained controllable with minimal  difficulty. However, the airplane was more difficult to control and required constant... ||| [AAB0205.pdf_chunk_0032]: [ANALYSIS] The Safety Board pilots were briefed that the simulated engine failures would occur but did not  know when.  31  NTSB/AAB-02/05  Statements from the carrier’s owner and the first officer’s fiancée and information from  the weight and balance form completed by the accident crew suggest tha... ||| [AAB0205.pdf_chunk_0033]: [ANALYSIS] Although low fuel quantity annunciator lights for each tank illuminate on  the forward instrument panel when the fuel quantity decreases below 200 pounds, Safety Board  investigators determined in simulations that these annunciator lights were easily overlooked,  even when illuminated. Fl...",,,,
52,52_approach_probable cause_probable_cause,"approach, probable cause, probable, cause, descent, altitude, transportation, national transportation, transportation safety, board",29,"[AAB0203.pdf_chunk_0048]: [ANALYSIS] NTSB/AAB-02/03  41   • The presence of a passenger on the jumpseat, especially if it were the  charter customer, most likely further heightened the pressure on the flight  crew to land at ASE.    4. Darkness, reduced visibility, and light snow showers near the airport at  the time of the... ||| [AAB0601.pdf_chunk_0016]: [ANALYSIS] However, the accident approach profile is consistent with the pilots using the  GPS data to navigate to the BALES LOM and then failing to notice that the GPS had  autosequenced to MTV after the airplane passed BALES. Once the airplane was inbound,  the pilots might have mistakenly believe... ||| [AAR0601.pdf_chunk_0063]: [CONCLUSIONS] Current regulations permitting pilots to descend below the minimum descent altitude (MDA) into a region where obstacle clearance is not assured may result in reduced margins of safety for nonprecision approaches, especially in conditions of low ceilings, reduced visibility, and/or at n...",,,,
53,53_cargo_compartment_cargo compartment_container,"cargo, compartment, cargo compartment, container, smoke, containers, compartments, synthesizer, oxygen, cargo compartments",29,"[AAR0707.pdf_chunk_0054]: [ANALYSIS] However, the flight engineer saw no smoke either  of the two times that he visually checked the main cargo compartment. This evidence  indicates that the fire initially did not generate a significant amount of smoke and was  most likely initiated as a smoldering fire inside a cargo contai... ||| [AAR0707.pdf_chunk_0055]: [ANALYSIS] Origin and Cause of Fire 2.4  Despite the length of time that the fire burned and the resulting destruction of  potentially helpful evidence, the postfire condition of the cargo containers and contents  and the surrounding airplane structure were examined for any evidence indicating  the... ||| [AAR0707.pdf_chunk_0056]: [ANALYSIS] The lowest point of fuselage damage,  which could be indicative of the point of origin of the fire, was located in the right aft  portion of container 12 near container  13, where the damage extended down to the  cargo compartment floor. Container 14 exhibited heavy damage to the contents...",,,,
54,54_tour_air tour_adsb_hawaii,"tour, air tour, adsb, hawaii, air, operators, tour operators, sfar, sfar 71, infrastructure",29,"[AAR0602.pdf_chunk_0059]: [ANALYSIS] Department of Transportation, Federal Aviation Administration, Report on the Interfaces Between Flightcrews and Modern Flight Deck Systems (Washington, DC: FAA, 1996). Analysis 52 Aircraft Accident Report flight. In addition to the lack of radar data for low-flying aircraft in the Gulf of... ||| [AAR0602.pdf_chunk_0060]: [ANALYSIS] As a result, helicopter pilots transporting oil service personnel to and from offshore platforms would not be afforded the same level of safety as general aviation pilots operating in Alaska. ADS-B technology has many potential benefits for flight operations in the Gulf of Mexico. For exa... ||| [AAR0602.pdf_chunk_0061]: [ANALYSIS] At that time, the FAA proposed fiscal year 2007 for the start date for implementation of the program and fiscal year 2010 as the target date for completion of the first segment of ADS-B infrastructure deployment. On March 1, 2006, the FAA verbally informed the Safety Board that the Gulf o...",,,,
55,55_vortex_core_vortices_rotors,"vortex, core, vortices, rotors, rotor, dc9, pressure, turbulence, feet, wake",28,"[AAR0101.pdf_chunk_0127]: [ANALYSIS] They also encountered turbulence during the entire flight from DEN until the initiation of the uncontrollable right roll. The Safety Board believes that immediately before the loss of control, the turbulence encountered by flight 585 was moderate. Moderate turbulence was forecast by the N... ||| [AAR0101.pdf_chunk_0128]: [ANALYSIS] In a .4 radian per second vortex the pressure decrease in a core with a radius of 250 feet would amount to about 9.2 millibars. At the core edge, the decrease would have been about 4.6 millibars and at a radius of 600 feet, the decrease would have been about .8 millibars. These pressure d... ||| [AAR0101.pdf_chunk_0129]: [ANALYSIS] At 200 feet above the core center, the increase in pressure amounts to about 1 millibar (corresponding to an indicated altitude decrease of about 30 feet). About 200 feet below the core center near the core edge, a pressure decrease of about 25 millibars (corresponding to an indicated alt...",,,,
56,56_fan_fan blade_cowl_blade,"fan, fan blade, cowl, blade, fbo, fan case, engine, fan blades, case, blades",28,"[AAR-90-06.pdf_chunk_0068]: [ANALYSIS] The results of the simulator experiments showed that a  landing attempt under these conditions involves many variables that affect  the extent of controllability during the approach and landing. In general,  the simulator reenactments indicated that landing parameters, such as speed,  tou... ||| [AAR1003.pdf_chunk_0088]: [ANALYSIS] A more detailed DNA analysis completed in February 2010 was unable to verify  whether more than one male goose was ingested into the right engine. NTSB  Aircraft Accident Report  2.2.3.1 Engine Spinner, Fan Blade, and Fan Inlet Case Damage  If a bird enters the engine inlet near the inner... ||| [AAR1903.pdf_chunk_0000]: [PROBABLE CAUSE] Probable Cause  The National Transportation Safety Board (NTSB) determines that the probable cause of  this accident was a low-cycle fatigue crack in the dovetail of fan blade No. 13, which resulted in  the fan blade separating in flight and impacting the engine fan case at a locati...",,,,
57,57_turbulence_aircraft_control_wing,"turbulence, aircraft, control, wing, severe, area, upset, loss, structural, air turbulence",28,"[AAR0101.pdf_chunk_0119]: [ANALYSIS] Since there is no evidence of an interruption of electrical power to either of the recorders, the Safety Board concludes that the electrical busses and the respective electrical motor-driven hydraulic pumps remained powered throughout the flight. With both the A and B hydraulic systems op... ||| [AAR0101.pdf_chunk_0120]: [ANALYSIS] Examination of the horizontal stabilizer indicated that there was no preimpact malfunction or failure of the horizontal stabilizer. Numerous examinations of the wreckage failed to produce evidence of preimpact structural problems. Engine mount separation points showed evidence of impact o... ||| [AAR0101.pdf_chunk_0126]: [ANALYSIS] In the worst case, an internal leakage was produced with a 66-percent drop in maximum pressure differential. This condition would limit the rate of rudder movement and the maximum deflection that could be achieved against aerodynamic loads. Nonetheless, the Safety Board is concerned that...",,,,
58,58_hazardous materials_hazardous_materials_undeclared,"hazardous materials, hazardous, materials, undeclared, undeclared hazardous, shipping, freight, packages, shipment, board",27,"[AAR0002.pdf_chunk_0073]: [ANALYSIS] Therefore, the Safety Board believes that the FAA should require manufacturers of 14 CFR Part 23 and Part 25 airplanes and Part 121 operators to revise their hard landing inspection and reporting criteria to account for all factors that can contribute to structural damage. The FAA should... ||| [AAR0002.pdf_chunk_0074]: [ANALYSIS] The Board notes that the incident commander’s decision to deploy firefighting units based on the assumption that hazardous materials were likely on board the airplane was prudent and in keeping with the North American Emergency Response Guidebook. The accident at Newark was the second wit... ||| [AAR0707.pdf_chunk_0065]: [ANALYSIS] Therefore, the Safety  Board recommends that the FAA require cargo operators to designate at least one floor  level door as a required emergency exit and equip the door with an evacuation slide, when  appropriate. Further, the Safety Board recommends that the FAA require all emergency  ex...",,,,
59,59_taws_terrain_alerts_gpws,"taws, terrain, alerts, gpws, warning, inhibit, alert, ground proximity, proximity, inhibited",27,"[AAB0606.pdf_chunk_0018]: [ANALYSIS] ANALYSIS General The flight crew was performing an instrument precision approach; therefore, the presence of low cloud ceilings and reduced visibility should not have affected the pilots’ ability to fly the approach. The Houston TRACON controller did not correct the first officer when he... ||| [AAR0001.pdf_chunk_0186]: [ANALYSIS] An aural “TERRAIN TERRAIN” and “PULL UP” warning and a red visual terrain depiction on the weather radar scope would have been issued about 45 seconds before impact and would have sounded continuously until completion of a successful escape maneuver or impact. Analysis 163 Aircraft Accide... ||| [AAR1402.pdf_chunk_0079]: [ANALYSIS] However, when the UPS director of operations was asked during  the NTSB’s investigative hearing about the flight crew’s responsibility to rebrief or abandon the  approach, he stated, “it would be the expectation.” Yet the captain, when he noticed that the  airplane was not descending on t...",,,,
60,60_rotor_blade_damper_tail,"rotor, blade, damper, tail, tail rotor, rotor blade, main rotor, dr, special effects, yellow",26,"[AAR7001.pdf_chunk_0019]: [ANALYSIS AND CONCLUSIONS > ANALYSIS] Fron the physical damage found in the components of the rotor head and patterns of this damage, it is evident that the black, yellow, and blue main rotor blades, followed by the red and white, underwent a serfes of extremc excursions in their lead/lag axis. Thes... ||| [AAR7001.pdf_chunk_0020]: [ANALYSIS AND CONCLUSIONS > ANALYSIS] Another consideration in the conclusion is that, had the yellow blade pitch change control rod become detached initially, it is improbable that the extreme lead and lag excursions of the other rotor blades would have been the expected result, This is because whe... ||| [AAR7001.pdf_chunk_0021]: [ANALYSIS AND CONCLUSIONS > ANALYSIS] When the zyellow blade became detached, it would have been uncontrollable in its pitch and flap axes and free to create an extreme imbalance in the rotor head. Such imbalance could well have caused the main rotor head to displace in such a manner as to deflect t...",,,,
61,61_rudder_servo valve_servo_valve,"rudder, servo valve, servo, valve, pcu, slide, jam, main rudder, secondary slide, rudder pcu",26,"[AAR0101.pdf_chunk_0123]: [ANALYSIS] As discussed in section 1.16.3, a rudder movement initiated by the yaw damper will produce a small angular movement of the standby actuator input crank. If the crank is not free to move relative to the actuator body, the feedback loop to the MPCU servo valve will be affected so that a rud... ||| [AAR0101.pdf_chunk_0124]: [ANALYSIS] The Safety Board believes it more likely that the nut was backed off during maintenance in which the MPCU was removed from the airplane. With the MPCU removed from the control system, movement of the rudder surface from side to side would be resisted only by the standby actuator and torqu... ||| [AAR0101.pdf_chunk_0125]: [ANALYSIS] There were no indications that the galled actuator had ever been detected by flight or maintenance crews within the preceding several years. It is believed that galling occurs shortly after the unit begins operation because the condition that causes galling is the lack of clearance betwee...",,,,
